FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKG,2021-09-09,Buy,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,301,0
ARKG,2021-09-09,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,8300,0
ARKG,2021-09-09,Buy,PSNL,71535D106,PERSONALIS INC,20948,0.01
ARKG,2021-09-09,Buy,PATH,90364P105,UIPATH INC,225066,0.15
ARKG,2021-09-09,Buy,NVTA,46185L103,INVITAE CORP,213856,0.08
ARKG,2021-09-09,Sell,NVS,66987V109,NOVARTIS AG,229072,0.24
ARKG,2021-09-09,Sell,DRNA,253031108,DICERNA PHARMACEUTICALS INC,38712,0.01
ARKG,2021-09-09,Sell,CRBU,142038108,CARIBOU BIOSCIENCES INC,76909,0.03
ARKG,2021-09-09,Sell,PSTG,74624M102,PURE STORAGE INC,30601,0.01
ARKG,2021-09-09,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,20000,0
ARKG,2021-09-09,Sell,RHHBY,771195104,ROCHE HOLDING AG,32678,0.02
ARKG,2021-09-09,Sell,CLLS,15117K103,CELLECTIS SA,12458,0
ARKG,2021-09-09,Sell,SRPT,803607100,SAREPTA THERAPEUTICS INC,475,0
