date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/06/2021,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,"3,950,974","$491,185,087.68",7.12%
10/06/2021,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,"3,890,907","$360,453,624.48",5.23%
10/06/2021,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,"13,987,825","$351,234,285.75",5.09%
10/06/2021,ARKG,"VERTEX PHARMACEUTICALS INC",VRTX,92532F100,"1,587,097","$280,932,039.97",4.07%
10/06/2021,ARKG,"IONIS PHARMACEUTICALS INC",IONS,462222100,"8,400,000","$275,436,000.00",4.00%
10/06/2021,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,"4,728,051","$270,917,322.30",3.93%
10/06/2021,ARKG,"CAREDX INC",CDNA,14167L103,"3,364,211","$220,019,399.40",3.19%
10/06/2021,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,"2,176,109","$216,196,429.15",3.14%
10/06/2021,ARKG,"TAKEDA PHARMACEUTIC-SP ADR","TAK UN",874060205,"13,095,099","$210,569,191.92",3.05%
10/06/2021,ARKG,"ACCOLADE INC",ACCD,00437E102,"5,161,953","$207,820,227.78",3.01%
10/06/2021,ARKG,"VEEVA SYSTEMS INC-CLASS A",VEEV,922475108,"726,261","$203,353,080.00",2.95%
10/06/2021,ARKG,"REGENERON PHARMACEUTICALS",REGN,75886F107,"360,620","$198,665,558.00",2.88%
10/06/2021,ARKG,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,"1,478,001","$191,785,409.76",2.78%
10/06/2021,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,"1,825,744","$187,120,502.56",2.71%
10/06/2021,ARKG,"INCYTE CORP",INCY,45337C102,"2,835,002","$185,210,680.66",2.69%
10/06/2021,ARKG,"BEAM THERAPEUTICS INC",BEAM,07373V105,"2,080,474","$178,109,379.14",2.58%
10/06/2021,ARKG,"ADAPTIVE BIOTECHNOLOGIES",ADPT,00650F109,"5,006,698","$163,318,488.76",2.37%
10/06/2021,ARKG,"INVITAE CORP",NVTA,46185L103,"5,953,751","$157,417,176.44",2.28%
10/06/2021,ARKG,"SIGNIFY HEALTH INC -CLASS A",SGFY,82671G100,"8,885,310","$155,492,925.00",2.26%
10/06/2021,ARKG,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,"5,821,493","$152,115,612.09",2.21%
10/06/2021,ARKG,"GINKGO BIOWORKS HOLDINGS INC",DNA,37611X100,"12,507,073","$149,834,734.54",2.17%
10/06/2021,ARKG,"UIPATH INC - CLASS A",PATH,90364P105,"2,895,997","$148,622,566.04",2.16%
10/06/2021,ARKG,"CODEXIS INC",CDXS,192005106,"4,813,145","$128,655,365.85",1.87%
10/06/2021,ARKG,"CASTLE BIOSCIENCES INC",CSTL,14843C105,"2,029,322","$127,908,165.66",1.86%
10/06/2021,ARKG,"SCHRODINGER INC",SDGR,80810D103,"2,225,373","$116,364,754.17",1.69%
10/06/2021,ARKG,"ARCTURUS THERAPEUTICS HOLDIN","ARCT UQ",03969T109,"2,493,236","$103,095,308.60",1.50%
10/06/2021,ARKG,"PERSONALIS INC",PSNL,71535D106,"5,198,744","$93,109,505.04",1.35%
10/06/2021,ARKG,"908 DEVICES INC",MASS,65443P102,"2,748,268","$92,918,941.08",1.35%
10/06/2021,ARKG,"PFIZER INC",PFE,717081103,"2,187,611","$92,579,697.52",1.34%
10/06/2021,ARKG,"QUANTUM-SI INC",QSI,74765K105,"10,887,015","$89,491,263.30",1.30%
10/06/2021,ARKG,"10X GENOMICS INC-CLASS A",TXG,88025U109,"622,219","$88,535,541.51",1.28%
10/06/2021,ARKG,"VERACYTE INC",VCYT,92337F107,"1,993,122","$88,394,960.70",1.28%
10/06/2021,ARKG,"BUTTERFLY NETWORK INC",BFLY,124155102,"7,095,598","$76,916,282.32",1.12%
10/06/2021,ARKG,"REPARE THERAPEUTICS INC",RPTX,760273102,"2,926,453","$76,438,952.36",1.11%
10/06/2021,ARKG,"BERKELEY LIGHTS INC",BLI,084310101,"3,825,748","$73,454,361.60",1.07%
10/06/2021,ARKG,"1LIFE HEALTHCARE INC",ONEM,68269G107,"3,540,947","$70,287,797.95",1.02%
10/06/2021,ARKG,"SEMA4 HOLDINGS CORP",SMFR,81663L101,"8,996,731","$62,167,411.21",0.90%
10/06/2021,ARKG,"VERVE THERAPEUTICS INC",VERV,92539P101,"1,250,393","$62,369,602.84",0.90%
10/06/2021,ARKG,"SOMALOGIC INC",SLGC,83444K105,"4,875,884","$56,316,460.20",0.82%
10/06/2021,ARKG,"RECURSION PHARMACEUTICALS-A",RXRX,75629V104,"2,559,543","$54,620,647.62",0.79%
10/06/2021,ARKG,"ZYMERGEN INC",ZY,98985X100,"3,730,680","$51,222,236.40",0.74%
10/06/2021,ARKG,"EDITAS MEDICINE INC",EDIT,28106W103,"1,250,274","$47,797,975.02",0.69%
10/06/2021,ARKG,"CELLECTIS - ADR",CLLS,15117K103,"3,583,026","$44,716,164.48",0.65%
10/06/2021,ARKG,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,"854,996","$39,022,017.44",0.57%
10/06/2021,ARKG,"SURFACE ONCOLOGY INC",SURF,86877M209,"4,916,624","$37,612,173.60",0.55%
10/06/2021,ARKG,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,"1,607,791","$37,316,829.11",0.54%
10/06/2021,ARKG,"CERUS CORP",CERS,157085101,"5,218,145","$31,569,777.25",0.46%
10/06/2021,ARKG,"AQUABOUNTY TECHNOLOGIES",AQB,03842K200,"6,148,188","$23,609,041.92",0.34%
10/06/2021,ARKG,"DYNAMICS SPECIAL PURPOSE C-A",DYNS,268010105,"2,299,572","$22,719,771.36",0.33%
10/06/2021,ARKG,"COMPUGEN LTD",CGEN,M25722105,"3,577,896","$22,826,976.48",0.33%
10/06/2021,ARKG,"DREYFUS GOVT CASH MAN INS",,X9USDDGCM,"17,558,046","$17,558,045.69",0.25%
10/06/2021,ARKG,"EVOGENE LTD",EVGN,M4119S104,"2,903,563","$7,491,192.54",0.11%
10/06/2021,ARKG,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,"241,138","$1,586,688.04",0.02%
10/06/2021,ARKG,"CARIBOU BIOSCIENCES INC",CRBU,142038108,96,"$2,155.20",0.00%
10/06/2021,ARKG,"CM LIFE SCIENCES II -CW27",SLGCW,83444K113,"548,744",$0.00,0.00%
