date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/11/2021,ARKK,"TESLA INC",TSLA,88160R101,"2,454,351","$1,927,868,166.99",9.72%
10/11/2021,ARKK,"TELADOC HEALTH INC",TDOC,87918A105,"9,150,020","$1,203,685,131.00",6.07%
10/11/2021,ARKK,"ROKU INC",ROKU,77543R102,"3,539,980","$1,144,687,932.80",5.77%
10/11/2021,ARKK,"COINBASE GLOBAL INC -CLASS A",COIN,19260Q107,"4,425,168","$1,098,061,187.52",5.54%
10/11/2021,ARKK,"UNITY SOFTWARE INC",U,91332U101,"7,822,935","$1,065,640,205.70",5.38%
10/11/2021,ARKK,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,"3,444,270","$878,461,063.50",4.43%
10/11/2021,ARKK,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,"3,325,803","$774,513,002.64",3.91%
10/11/2021,ARKK,"SQUARE INC - A",SQ,852234103,"3,239,680","$772,631,283.20",3.90%
10/11/2021,ARKK,"SHOPIFY INC - CLASS A",SHOP,82509L107,"551,221","$759,599,074.63",3.83%
10/11/2021,ARKK,"TWILIO INC - A",TWLO,90138F102,"2,045,701","$655,851,740.60",3.31%
10/11/2021,ARKK,"UIPATH INC - CLASS A",PATH,90364P105,"12,592,777","$647,016,882.26",3.26%
10/11/2021,ARKK,"EXACT SCIENCES CORP",EXAS,30063P105,"6,751,915","$632,586,916.35",3.19%
10/11/2021,ARKK,"ZILLOW GROUP INC - C",Z,98954M200,"6,899,731","$628,151,510.24",3.17%
10/11/2021,ARKK,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,"24,120,058","$566,821,363.00",2.86%
10/11/2021,ARKK,"DRAFTKINGS INC - CL A",DKNG,26142R104,"11,029,151","$528,406,624.41",2.67%
10/11/2021,ARKK,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,"4,354,613","$525,645,335.23",2.65%
10/11/2021,ARKK,"CRISPR THERAPEUTICS AG",CRSP,H17182108,"5,230,420","$515,876,324.60",2.60%
10/11/2021,ARKK,"TWITTER INC",TWTR,90184L102,"8,050,513","$512,656,667.84",2.59%
10/11/2021,ARKK,"BEAM THERAPEUTICS INC",BEAM,07373V105,"5,483,786","$458,279,996.02",2.31%
10/11/2021,ARKK,"INVITAE CORP",NVTA,46185L103,"15,871,958","$415,051,701.70",2.09%
10/11/2021,ARKK,"FATE THERAPEUTICS INC",FATE,31189P102,"6,197,033","$340,403,022.69",1.72%
10/11/2021,ARKK,"10X GENOMICS INC-CLASS A",TXG,88025U109,"2,137,085","$331,953,413.05",1.67%
10/11/2021,ARKK,"DOCUSIGN INC",DOCU,256163106,"1,200,794","$315,844,845.82",1.59%
10/11/2021,ARKK,"TUSIMPLE HOLDINGS INC - A",TSP,90089L108,"7,162,828","$275,410,736.60",1.39%
10/11/2021,ARKK,"PAGERDUTY INC",PD,69553P100,"6,957,606","$274,547,132.76",1.38%
10/11/2021,ARKK,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,"7,258,496","$268,201,427.20",1.35%
10/11/2021,ARKK,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,"9,720,561","$241,847,557.68",1.22%
10/11/2021,ARKK,"ROBINHOOD MARKETS INC - A",HOOD,770700102,"5,673,340","$237,032,145.20",1.20%
10/11/2021,ARKK,"GINKGO BIOWORKS HOLDINGS INC",DNA,37611X100,"20,128,258","$207,924,905.14",1.05%
10/11/2021,ARKK,"SIGNIFY HEALTH INC -CLASS A",SGFY,82671G100,"10,303,145","$185,971,767.25",0.94%
10/11/2021,ARKK,"2U INC",TWOU,90214J101,"5,274,400","$177,219,840.00",0.89%
10/11/2021,ARKK,"VERACYTE INC",VCYT,92337F107,"3,808,574","$158,170,078.22",0.80%
10/11/2021,ARKK,"TWIST BIOSCIENCE CORP",TWST,90184D100,"1,561,310","$153,867,100.50",0.78%
10/11/2021,ARKK,"EDITAS MEDICINE INC",EDIT,28106W103,"4,044,973","$144,041,488.53",0.73%
10/11/2021,ARKK,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,"5,424,738","$143,321,577.96",0.72%
10/11/2021,ARKK,"TRIMBLE INC",TRMB,896239100,"1,375,660","$112,707,823.80",0.57%
10/11/2021,ARKK,"STRATASYS LTD",SSYS,M85548101,"3,673,963","$96,808,925.05",0.49%
10/11/2021,ARKK,"PROTO LABS INC",PRLB,743713109,"1,324,409","$88,881,087.99",0.45%
10/11/2021,ARKK,"SKILLZ INC",SKLZ,83067L109,"10,888,477","$87,652,239.85",0.44%
10/11/2021,ARKK,"BERKELEY LIGHTS INC",BLI,084310101,"4,722,451","$85,429,138.59",0.43%
